i,cx,cy,d,nx,ny,ddcx,ddcy,dnxcx,dnxcy,dnycx,dnycy
0,2.2543271619062639,-3.428986407392796,4.0382679814272402,0.54698136883852988,-0.83714477967883671,0.54698136883852988,-0.83714477967883671,70.081138214352805,45.790259750475961,45.790259750475961,29.918861785647188
1,2.254008781608031,-3.4284669246581525,4.0376589511147989,0.54698501241026065,-0.83714239899705667,0.54698501241026065,-0.83714239899705667,70.080739619854711,45.790434550456041,45.790434550456041,29.919260380145275
2,2.2537462744813785,-3.427921305689309,4.0370586036433602,0.54700128940274206,-0.8371317634588582,0.54700128940274206,-0.8371317634588582,70.078958939173759,45.79121540119867,45.79121540119867,29.921041060826226
3,2.2535065780276917,-3.4273709070459257,4.0364667344330165,0.54702206228265071,-0.83711818961006679,0.54702206228265071,-0.83711818961006679,70.076686337603576,45.792211845481781,45.792211845481781,29.923313662396424
4,2.2533210962515486,-3.4267945047504953,4.0358827581283556,0.54705517400495351,-0.8370965515365657,0.54705517400495351,-0.8370965515365657,70.073063659441004,45.793799965978252,45.793799965978252,29.926936340558985
5,2.2531541321035897,-3.4262181467293376,4.0353089560237869,0.54709149688258718,-0.8370728128656254,0.54709149688258718,-0.8370728128656254,70.069089403877015,45.795541819037275,45.795541819037275,29.930910596122974
6,2.2530362536385309,-3.4256210455999621,4.0347446550218526,0.5471386805322509,-0.83704197282180992,0.5471386805322509,-0.83704197282180992,70.06392642654275,45.797804055983732,45.797804055983732,29.936073573457243
7,2.2529314322851066,-3.4250290877555871,4.0341918165372466,0.54718755506010652,-0.83701002358833376,0.54718755506010652,-0.83701002358833376,70.05857795873429,45.800146836810249,45.800146836810249,29.941422041265696
8,2.2528703829530889,-3.4244204672461476,4.0336489994639226,0.54724591161261904,-0.83697187062844203,0.54724591161261904,-0.83697187062844203,70.052191222327352,45.802943433618083,45.802943433618083,29.947808777672648
9,2.3161157677575104,-3.3604415851055904,4.0156720318889478,0.56540019895498017,-0.82481671601736395,0.56540019895498017,-0.82481671601736395,68.032261502166875,46.635153533761098,46.635153533761098,31.967738497833121
10,2.3782743967310465,-3.2976419084227699,3.9999573511348334,0.58311702394273746,-0.81238816854270168,0.58311702394273746,-0.81238816854270168,65.997453638816495,47.371737112691122,47.371737112691122,34.002546361183491
11,2.3821854649417267,-3.2931858467450761,3.9986220706929672,0.5842869254413986,-0.8115471574457257,0.5842869254413986,-0.8115471574457257,65.860878875823744,47.417639347466974,47.417639347466974,34.139121124176256
12,2.3822738186754107,-3.2925332503341549,3.9981441074619006,0.5843786440499571,-0.81148111523210054,0.5843786440499571,-0.81148111523210054,65.850160037833348,47.421223379148195,47.421223379148195,34.149839962166638
