i,cx,cy,d,nx,ny,ddcx,ddcy,dnxcx,dnxcy,dnycx,dnycy
0,-0.021887117690243197,-0.029323379078717474,1.7970746104111618e-06,-0.60984647716174456,-0.79251957344497792,-0.36099128345385456,-0.5065744772612748,13.774431564159833,-13.187922400700796,-10.599471414685027,10.148150640860115
1,-0.021925233511618077,-0.029296176669424946,1.7969891122644049e-06,-0.61073010985147358,-0.79183883014209833,-0.36161481218314734,-0.50594218230724053,13.76811366583601,-13.186856180359081,-10.619082130734418,10.170769375102553
2,-0.021904536681145611,-0.029310957211920497,1.7968522150130575e-06,-0.61025020454895951,-0.79220874007293884,-0.36127610270666533,-0.50628564370904794,13.771557715989433,-13.187447421596916,-10.608436246697538,10.158487377666672
3,-0.021942743967040813,-0.029283633195149022,1.7870942830254533e-06,-0.61113657582218506,-0.79152516428243436,-0.36190183805284437,-0.50565118599935988,13.765173733370066,-13.18633382097708,-10.628090578314865,10.18116828453061
4,-0.021922043665311731,-0.029298437495310244,1.78748328239723e-06,-0.61065637754461977,-0.79189569298240459,-0.36156278281891097,-0.50599497459725662,13.768645541439094,-13.18694986857993,-10.617447833774106,10.168883489291115
5,-0.021930154417004646,-0.029292795542384873,1.8661374870314155e-06,-0.61084244561233147,-0.7917521750133345,-0.3616939726498114,-0.50586166259855503,13.767297548913611,-13.186706534791243,-10.621568174548321,10.173638069448105
6,-0.021968444185523552,-0.029265178919221192,1.7659897911838363e-06,-0.61173362479737037,-0.79106382314720358,-0.36232367024673956,-0.50522357549480879,13.760816382797669,-13.185529552853062,-10.641308374499408,10.196436181532603
7,-0.02197728184181973,-0.029258842919282383,1.7680916198034059e-06,-0.61193877410592035,-0.79090513764025028,-0.36246865251703131,-0.50507658214993345,13.759307572567677,-13.185241893599452,-10.645845383714285,10.201679539891071
8,-0.021986216505563431,-0.029252449425353207,1.7785521461261521e-06,-0.61214600087809834,-0.79074475882483819,-0.36261511555001769,-0.50492806178856231,13.757777176790807,-13.184945090671425,-10.650425672451425,10.206974272009941
9,-0.021995350845141211,-0.029245849894820458,1.7597034153681024e-06,-0.61235867533915467,-0.79058007357691207,-0.36276552376835047,-0.50477565367703958,13.756203040640404,-13.18463788299794,-10.655125967886542,10.212409417720542
10,-0.021973277002664573,-0.029262065054053956,1.9441388914628183e-06,-0.61184118406261134,-0.79098063534125895,-0.362399302398553,-0.50514624768087635,13.760011761679626,-13.185361302556,-10.64367635921867,10.199171397121043
11,-0.02198225016997335,-0.029255328469302944,1.7942342042795087e-06,-0.61205347133773902,-0.79081638085172701,-0.36254967062753463,-0.50499435115314117,13.758459580804164,-13.185076206121259,-10.648379510831138,10.204608626237107
12,-0.022018872964296259,-0.029229326032564357,1.9595815389586435e-06,-0.61290005709399353,-0.79016043941352776,-0.36314801845352995,-0.50438719189700576,13.752149035872655,-13.183804836463477,-10.667065204513905,10.226220314170533
13,-0.021996734809406959,-0.029245317872345678,1.9932234078612679e-06,-0.61238472779290531,-0.79055989347171496,-0.36278344791173933,-0.50475663161328099,13.755990810745285,-13.184575777845753,-10.655686884350345,10.213056487503033
14,-0.022003221217901117,-0.029240954896104097,2.1447093530970254e-06,-0.61253147467610181,-0.79044619837856145,-0.36288690154667136,-0.50465120602364721,13.754887411891586,-13.184343208771818,-10.658918327006294,10.216793002320401
15,-0.02203763367601044,-0.02921674929135136,2.4336689019416845e-06,-0.61332383183441463,-0.78983154995476756,-0.3634468922749387,-0.50408251933982962,13.74892308984508,-13.183094589889601,-10.676380544108882,10.237000648770838
16,-0.022041392955978366,-0.029214763386296434,2.7990656433557123e-06,-0.61340169693877611,-0.78977107961271287,-0.36350122962188791,-0.5040261122933346,13.748305333325593,-13.182933251933814,-10.678073734517888,10.238958903549923
17,-0.022043959731086304,-0.029213596667454163,3.1441013848402567e-06,-0.6134523659279828,-0.78973172326895935,-0.36353636261234024,-0.50398924508603149,13.747894262126405,-13.182816920896578,-10.67916865074055,10.240224612282983
18,-0.02201709260009083,-0.02923322258846571,3.2785711346454416e-06,-0.61282420145214278,-0.79021927217358068,-0.36309154231257951,-0.50443963031505334,13.752610879177642,-13.183786321194894,-10.665309081531484,10.224179046125851
19,-0.022018917020028721,-0.029232456577998001,3.5546285415588748e-06,-0.61285939061600148,-0.7901919813145305,-0.36311584906496885,-0.50441398518801139,13.752325188382779,-13.183704393525211,-10.666068289486416,10.225055722833599
20,-0.022020874338441014,-0.029231264078354625,3.6638960051620963e-06,-0.61290202949130312,-0.79015890948937717,-0.36314578279752474,-0.50438324449240945,13.751996941099174,-13.183627899011743,-10.667002211244686,10.226135778920927
21,-0.022021323857387153,-0.029232255303853434,4.3270949944707732e-06,-0.61289514335422723,-0.79016425080662889,-0.36313949802535778,-0.50438719755672867,13.751995112758854,-13.183570791023637,-10.6668088406136,10.225907463715961
22,-0.022046168333300527,-0.029216175010789311,5.2464574594921452e-06,-0.61344873984154125,-0.78973453994796572,-0.36352932157462547,-0.5039887207703464,13.74775221305487,-13.182608366253671,-10.678957097796358,10.239965559358343
23,-0.022022428662273639,-0.029237946899202252,7.5991421741479492e-06,-0.61283530186688329,-0.79021066354847802,-0.36309019156643002,-0.50442525287478734,13.752179682530885,-13.183328428270576,-10.665284051250216,10.224120515748794
24,-0.021993507974619585,-0.029285217338336663,2.097041225132025e-05,-0.61181429982584945,-0.79100143016849567,-0.36233972406068404,-0.50513732518049514,13.75867778697307,-13.18345402556899,-10.641897088571993,10.196979912187544
25,-0.023313590660148105,-0.033261421150361972,0.0025308068283757313,-0.57809159081846551,-0.81597188225145101,-0.33391717034546597,-0.5263891429039933,13.72938436750009,-12.883052679426028,-9.7268567981371596,9.1272561960075347
26,-0.024633245700519463,-0.038734327331203196,0.0059211793862333807,-0.52735412916205227,-0.84964558638042331,-0.29419168599023016,-0.56142473932076864,13.457111740427461,-12.17116459468377,-8.3524984495500778,7.5543426678186902
27,-0.025657704760512115,-0.043925983443555208,0.0092113047032690073,-0.48008469183618929,-0.87722214328216275,-0.25906196674598936,-0.59702120207276599,12.944391166752833,-11.222057039958855,-7.0841851085133065,6.1415889202694895
28,-0.02663405125694061,-0.048013386203783114,0.011947620545204783,-0.4482802266714655,-0.89389307994601874,-0.23613680570878523,-0.62372234265015136,12.438285607749215,-10.397511870945472,-6.2377007012773422,5.2142690025166782
29,-0.027569887992648083,-0.051378625595307356,0.014295599576537804,-0.42586908066494922,-0.90478479548099777,-0.22047207351986015,-0.64483324004487541,11.998584055685608,-9.7173494951914421,-5.6475594932599229,4.5738154715754185
30,-0.028454309775968824,-0.05421896697944581,0.016341668598499504,-0.4095087091634611,-0.91230620798023498,-0.20942930722970718,-0.66210274388722601,11.62942614534664,-9.1614127210554201,-5.2201237341529563,4.1123016205479965
31,-0.029279434426758753,-0.05665373871015441,0.018140774177089338,-0.39722869017786366,-0.91771965637637887,-0.20146703279483796,-0.67654727901953371,11.321793031704214,-8.7054584959986379,-4.9005608468783421,3.768098298577863
32,-0.030044289067251099,-0.05877192612100101,0.019738682981195538,-0.38775215686224535,-0.92176367082277466,-0.19559587263083056,-0.6888684976980548,11.063705882235297,-8.3269927715875731,-4.6540951379619635,3.502860342149678
33,-0.03074736996678135,-0.060626660855411504,0.021162143815171276,-0.3803046677230284,-0.92486126511389644,-0.19120969902179993,-0.69947945115238641,10.846186863851552,-8.0105143050489342,-4.4599721568087993,3.2939383407921543
34,-0.031388184884102173,-0.062252381727968702,0.022428209261295226,-0.3743900067270009,-0.92727133184573118,-0.18791522382641559,-0.70864194024144966,10.662582333882348,-7.7450196199173789,-4.305065987280571,3.1270868062208503
35,-0.031971553172780318,-0.063689770414831703,0.02356143178745319,-0.36959457183197197,-0.92919311904056912,-0.18539807178426493,-0.71663981106471664,10.50574245438586,-7.5194352007391494,-4.1787496104307511,2.9909201612524043
